830043084-4;C I CARBOCOQUE S A            ;42952;6340653,00
830043084-4;C I CARBOCOQUE S A            ;42953;6294866,00
830043084-4;C I CARBOCOQUE S A            ;42964;6463314,00
830043084-4;C I CARBOCOQUE S A            ;42981;6419408,00
830043084-4;C I CARBOCOQUE S A            ;42982;6363423,00
830043084-4;C I CARBOCOQUE S A            ;42983;6253038,00
830043084-4;C I CARBOCOQUE S A            ;42984;6291202,00
830043084-4;C I CARBOCOQUE S A            ;42985;6333327,00
830043084-4;C I CARBOCOQUE S A            ;42986;6355305,00
830043084-4;C I CARBOCOQUE S A            ;43224;6610032,00
830043084-4;C I CARBOCOQUE S A            ;43225;6654434,00
830043084-4;C I CARBOCOQUE S A            ;43226;6378471,00
830043084-4;C I CARBOCOQUE S A            ;43227;6076620,00
830043084-4;C I CARBOCOQUE S A            ;43293;6348375,00
830043084-4;C I CARBOCOQUE S A            ;43307;6611962,00
830043084-4;C I CARBOCOQUE S A            ;43330;6352137,00
830043084-4;C I CARBOCOQUE S A            ;43331;6602310,00
830043084-4;C I CARBOCOQUE S A            ;43339;6638990,00
830043084-4;C I CARBOCOQUE S A            ;43340;6774124,00
830043084-4;C I CARBOCOQUE S A            ;43341;6591024,00
830043084-4;C I CARBOCOQUE S A            ;43342;6604191,00
830043084-4;C I CARBOCOQUE S A            ;43343;6579144,00
830043084-4;C I CARBOCOQUE S A            ;43344;6446187,00
830043084-4;C I CARBOCOQUE S A            ;43345;6305656,00
830043084-4;C I CARBOCOQUE S A            ;43346;6718140,00
830043084-4;C I CARBOCOQUE S A            ;43347;6542118,00
830043084-4;C I CARBOCOQUE S A            ;43359;6269076,00
900901001-9;CALA COLOMBIA S.A.S.          ;41942;1534500,00
900901001-9;CALA COLOMBIA S.A.S.          ;42158;1633500,00
900901001-9;CALA COLOMBIA S.A.S.          ;42159;198000,00
900901001-9;CALA COLOMBIA S.A.S.          ;42169;544500,00
900901001-9;CALA COLOMBIA S.A.S.          ;42177;24309450,00
900901001-9;CALA COLOMBIA S.A.S.          ;42199;544500,00
900901001-9;CALA COLOMBIA S.A.S.          ;42200;26378550,00
900901001-9;CALA COLOMBIA S.A.S.          ;42230;4947030,00
900901001-9;CALA COLOMBIA S.A.S.          ;42377;3019500,00
900901001-9;CALA COLOMBIA S.A.S.          ;42444;4940100,00
900901001-9;CALA COLOMBIA S.A.S.          ;42596;1213740,00
900901001-9;CALA COLOMBIA S.A.S.          ;42597;1112760,00
900901001-9;CALA COLOMBIA S.A.S.          ;42598;8659035,00
900901001-9;CALA COLOMBIA S.A.S.          ;42771;15293520,00
900901001-9;CALA COLOMBIA S.A.S.          ;42806;4947030,00
900901001-9;CALA COLOMBIA S.A.S.          ;43075;23140260,00
